Preparing samples for split: train
Total sequences for split 'train': 8491
Preparing samples for split: val
Total sequences for split 'val': 1991
Epoch 0 | Train Loss: 101.2998 | Train Acc: 0.4314 | Val Loss: 1.0060 | Val Acc: 0.4174
Epoch 1 | Train Loss: 101.0953 | Train Acc: 0.4201 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 2 | Train Loss: 100.9259 | Train Acc: 0.4215 | Val Loss: 1.0065 | Val Acc: 0.4174
Epoch 3 | Train Loss: 100.9035 | Train Acc: 0.4223 | Val Loss: 1.0092 | Val Acc: 0.4174
Epoch 4 | Train Loss: 100.8613 | Train Acc: 0.4268 | Val Loss: 1.0089 | Val Acc: 0.4174
Epoch 5 | Train Loss: 100.9217 | Train Acc: 0.4299 | Val Loss: 1.0049 | Val Acc: 0.4370
Epoch 6 | Train Loss: 100.9404 | Train Acc: 0.4281 | Val Loss: 1.0107 | Val Acc: 0.4174
Epoch 7 | Train Loss: 100.9201 | Train Acc: 0.4297 | Val Loss: 1.0063 | Val Acc: 0.4174
Epoch 8 | Train Loss: 100.8476 | Train Acc: 0.4201 | Val Loss: 1.0064 | Val Acc: 0.4370
Epoch 9 | Train Loss: 100.8906 | Train Acc: 0.4226 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 10 | Train Loss: 100.8703 | Train Acc: 0.4255 | Val Loss: 1.0120 | Val Acc: 0.4174
Epoch 11 | Train Loss: 100.8486 | Train Acc: 0.4296 | Val Loss: 1.0064 | Val Acc: 0.4370
Epoch 12 | Train Loss: 100.8985 | Train Acc: 0.4297 | Val Loss: 1.0059 | Val Acc: 0.4370
Epoch 13 | Train Loss: 100.8951 | Train Acc: 0.4262 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 14 | Train Loss: 100.9202 | Train Acc: 0.4261 | Val Loss: 1.0063 | Val Acc: 0.4174
Epoch 15 | Train Loss: 100.8618 | Train Acc: 0.4174 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 16 | Train Loss: 100.8651 | Train Acc: 0.4319 | Val Loss: 1.0060 | Val Acc: 0.4370
Epoch 17 | Train Loss: 100.8693 | Train Acc: 0.4332 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 18 | Train Loss: 100.8720 | Train Acc: 0.4268 | Val Loss: 1.0059 | Val Acc: 0.4174
Epoch 19 | Train Loss: 100.8301 | Train Acc: 0.4203 | Val Loss: 1.0057 | Val Acc: 0.4370
Epoch 20 | Train Loss: 100.8828 | Train Acc: 0.4341 | Val Loss: 1.0049 | Val Acc: 0.4370
Epoch 21 | Train Loss: 100.9230 | Train Acc: 0.4272 | Val Loss: 1.0056 | Val Acc: 0.4370
Epoch 22 | Train Loss: 100.9108 | Train Acc: 0.4272 | Val Loss: 1.0066 | Val Acc: 0.4370
Epoch 23 | Train Loss: 100.8361 | Train Acc: 0.4241 | Val Loss: 1.0049 | Val Acc: 0.4370
Epoch 24 | Train Loss: 100.8527 | Train Acc: 0.4262 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 25 | Train Loss: 100.8525 | Train Acc: 0.4237 | Val Loss: 1.0104 | Val Acc: 0.4370
Epoch 26 | Train Loss: 100.9004 | Train Acc: 0.4300 | Val Loss: 1.0172 | Val Acc: 0.4370
Epoch 27 | Train Loss: 100.9004 | Train Acc: 0.4297 | Val Loss: 1.0112 | Val Acc: 0.4174
Epoch 28 | Train Loss: 100.8750 | Train Acc: 0.4239 | Val Loss: 1.0105 | Val Acc: 0.4174
Epoch 29 | Train Loss: 100.9149 | Train Acc: 0.4184 | Val Loss: 1.0049 | Val Acc: 0.4370
Epoch 30 | Train Loss: 100.7819 | Train Acc: 0.4293 | Val Loss: 1.0051 | Val Acc: 0.4370
Epoch 31 | Train Loss: 100.7767 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 32 | Train Loss: 100.7825 | Train Acc: 0.4293 | Val Loss: 1.0056 | Val Acc: 0.4370
Epoch 33 | Train Loss: 100.7971 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 34 | Train Loss: 100.7916 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 35 | Train Loss: 100.7891 | Train Acc: 0.4293 | Val Loss: 1.0057 | Val Acc: 0.4370
Epoch 36 | Train Loss: 100.8047 | Train Acc: 0.4288 | Val Loss: 1.0060 | Val Acc: 0.4174
Epoch 37 | Train Loss: 100.8054 | Train Acc: 0.4295 | Val Loss: 1.0058 | Val Acc: 0.4174
Epoch 38 | Train Loss: 100.7813 | Train Acc: 0.4274 | Val Loss: 1.0055 | Val Acc: 0.4370
Epoch 39 | Train Loss: 100.7962 | Train Acc: 0.4227 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 40 | Train Loss: 100.7898 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 41 | Train Loss: 100.7726 | Train Acc: 0.4226 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 42 | Train Loss: 100.7784 | Train Acc: 0.4260 | Val Loss: 1.0058 | Val Acc: 0.4370
Epoch 43 | Train Loss: 100.7943 | Train Acc: 0.4237 | Val Loss: 1.0058 | Val Acc: 0.4174
Epoch 44 | Train Loss: 100.7890 | Train Acc: 0.4235 | Val Loss: 1.0056 | Val Acc: 0.4174
Epoch 45 | Train Loss: 100.7792 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 46 | Train Loss: 100.8026 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 47 | Train Loss: 100.7868 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 48 | Train Loss: 100.7782 | Train Acc: 0.4265 | Val Loss: 1.0055 | Val Acc: 0.4370
Epoch 49 | Train Loss: 100.7979 | Train Acc: 0.4168 | Val Loss: 1.0058 | Val Acc: 0.4370
Epoch 50 | Train Loss: 100.7873 | Train Acc: 0.4227 | Val Loss: 1.0058 | Val Acc: 0.4174
Epoch 51 | Train Loss: 100.7769 | Train Acc: 0.4212 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 52 | Train Loss: 100.7861 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 53 | Train Loss: 100.7714 | Train Acc: 0.4293 | Val Loss: 1.0051 | Val Acc: 0.4370
Epoch 54 | Train Loss: 100.7809 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 55 | Train Loss: 100.7885 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 56 | Train Loss: 100.7857 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 57 | Train Loss: 100.7890 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 58 | Train Loss: 100.8008 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 59 | Train Loss: 100.7863 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 60 | Train Loss: 100.7852 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 61 | Train Loss: 100.7848 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 62 | Train Loss: 100.7744 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 63 | Train Loss: 100.7831 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 64 | Train Loss: 100.7808 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 65 | Train Loss: 100.7994 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 66 | Train Loss: 100.7812 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 67 | Train Loss: 100.7822 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 68 | Train Loss: 100.7786 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 69 | Train Loss: 100.7736 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 70 | Train Loss: 100.7710 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 71 | Train Loss: 100.7735 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 72 | Train Loss: 100.7700 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 73 | Train Loss: 100.7698 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 74 | Train Loss: 100.7788 | Train Acc: 0.4293 | Val Loss: 1.0055 | Val Acc: 0.4370
Epoch 75 | Train Loss: 100.7710 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 76 | Train Loss: 100.7705 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 77 | Train Loss: 100.7766 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 78 | Train Loss: 100.7854 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 79 | Train Loss: 100.7702 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 80 | Train Loss: 100.7703 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 81 | Train Loss: 100.7790 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 82 | Train Loss: 100.7727 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
