Preparing samples for split: train
Total sequences for split 'train': 8491
Preparing samples for split: val
Total sequences for split 'val': 1991
Epoch 0 | Train Loss: 1.0146 | Train Acc: 0.4302 | Val Loss: 1.0075 | Val Acc: 0.4370
Epoch 1 | Train Loss: 1.0103 | Train Acc: 0.4180 | Val Loss: 1.0107 | Val Acc: 0.4370
Epoch 2 | Train Loss: 1.0096 | Train Acc: 0.4248 | Val Loss: 1.0071 | Val Acc: 0.4174
Epoch 3 | Train Loss: 1.0089 | Train Acc: 0.4281 | Val Loss: 1.0062 | Val Acc: 0.4174
Epoch 4 | Train Loss: 1.0100 | Train Acc: 0.4244 | Val Loss: 1.0049 | Val Acc: 0.4370
Epoch 5 | Train Loss: 1.0093 | Train Acc: 0.4277 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 6 | Train Loss: 1.0086 | Train Acc: 0.4323 | Val Loss: 1.0062 | Val Acc: 0.4370
Epoch 7 | Train Loss: 1.0085 | Train Acc: 0.4306 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 8 | Train Loss: 1.0090 | Train Acc: 0.4280 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 9 | Train Loss: 1.0083 | Train Acc: 0.4329 | Val Loss: 1.0136 | Val Acc: 0.4174
Epoch 10 | Train Loss: 1.0092 | Train Acc: 0.4212 | Val Loss: 1.0061 | Val Acc: 0.4174
Epoch 11 | Train Loss: 1.0095 | Train Acc: 0.4156 | Val Loss: 1.0062 | Val Acc: 0.4174
Epoch 12 | Train Loss: 1.0086 | Train Acc: 0.4219 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 13 | Train Loss: 1.0088 | Train Acc: 0.4188 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 14 | Train Loss: 1.0087 | Train Acc: 0.4285 | Val Loss: 1.0079 | Val Acc: 0.4174
Epoch 15 | Train Loss: 1.0089 | Train Acc: 0.4253 | Val Loss: 1.0056 | Val Acc: 0.4174
Epoch 16 | Train Loss: 1.0089 | Train Acc: 0.4157 | Val Loss: 1.0055 | Val Acc: 0.4174
Epoch 17 | Train Loss: 1.0089 | Train Acc: 0.4227 | Val Loss: 1.0068 | Val Acc: 0.4174
Epoch 18 | Train Loss: 1.0092 | Train Acc: 0.4255 | Val Loss: 1.0057 | Val Acc: 0.4174
Epoch 19 | Train Loss: 1.0088 | Train Acc: 0.4286 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 20 | Train Loss: 1.0082 | Train Acc: 0.4138 | Val Loss: 1.0060 | Val Acc: 0.4174
Epoch 21 | Train Loss: 1.0084 | Train Acc: 0.4293 | Val Loss: 1.0060 | Val Acc: 0.4174
Epoch 22 | Train Loss: 1.0084 | Train Acc: 0.4295 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 23 | Train Loss: 1.0083 | Train Acc: 0.4318 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 24 | Train Loss: 1.0092 | Train Acc: 0.4161 | Val Loss: 1.0056 | Val Acc: 0.4174
Epoch 25 | Train Loss: 1.0082 | Train Acc: 0.4252 | Val Loss: 1.0057 | Val Acc: 0.4174
Epoch 26 | Train Loss: 1.0083 | Train Acc: 0.4239 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 27 | Train Loss: 1.0083 | Train Acc: 0.4204 | Val Loss: 1.0065 | Val Acc: 0.4370
Epoch 28 | Train Loss: 1.0085 | Train Acc: 0.4228 | Val Loss: 1.0050 | Val Acc: 0.4370
Epoch 29 | Train Loss: 1.0081 | Train Acc: 0.4272 | Val Loss: 1.0055 | Val Acc: 0.4174
Epoch 30 | Train Loss: 1.0078 | Train Acc: 0.4279 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 31 | Train Loss: 1.0078 | Train Acc: 0.4287 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 32 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 33 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0055 | Val Acc: 0.4174
Epoch 34 | Train Loss: 1.0078 | Train Acc: 0.4287 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 35 | Train Loss: 1.0079 | Train Acc: 0.4244 | Val Loss: 1.0055 | Val Acc: 0.4174
Epoch 36 | Train Loss: 1.0078 | Train Acc: 0.4247 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 37 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 38 | Train Loss: 1.0078 | Train Acc: 0.4303 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 39 | Train Loss: 1.0077 | Train Acc: 0.4287 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 40 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 41 | Train Loss: 1.0079 | Train Acc: 0.4283 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 42 | Train Loss: 1.0078 | Train Acc: 0.4295 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 43 | Train Loss: 1.0078 | Train Acc: 0.4303 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 44 | Train Loss: 1.0077 | Train Acc: 0.4294 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 45 | Train Loss: 1.0077 | Train Acc: 0.4290 | Val Loss: 1.0055 | Val Acc: 0.4174
Epoch 46 | Train Loss: 1.0078 | Train Acc: 0.4307 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 47 | Train Loss: 1.0077 | Train Acc: 0.4261 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 48 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 49 | Train Loss: 1.0078 | Train Acc: 0.4253 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 50 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 51 | Train Loss: 1.0078 | Train Acc: 0.4272 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 52 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 53 | Train Loss: 1.0077 | Train Acc: 0.4252 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 54 | Train Loss: 1.0078 | Train Acc: 0.4300 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 55 | Train Loss: 1.0078 | Train Acc: 0.4287 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 56 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 57 | Train Loss: 1.0078 | Train Acc: 0.4222 | Val Loss: 1.0054 | Val Acc: 0.4174
Epoch 58 | Train Loss: 1.0078 | Train Acc: 0.4282 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 59 | Train Loss: 1.0079 | Train Acc: 0.4227 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 60 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 61 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 62 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 63 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 64 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 65 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 66 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 67 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 68 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0054 | Val Acc: 0.4370
Epoch 69 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 70 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 71 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 72 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 73 | Train Loss: 1.0075 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 74 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
