Preparing samples for split: train
Total sequences for split 'train': 8491
Preparing samples for split: val
Total sequences for split 'val': 1991
Epoch 53 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 54 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 55 | Train Loss: 1.0078 | Train Acc: 0.4224 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 56 | Train Loss: 1.0078 | Train Acc: 0.4275 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 57 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 58 | Train Loss: 1.0080 | Train Acc: 0.4249 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 59 | Train Loss: 1.0077 | Train Acc: 0.4263 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 60 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 61 | Train Loss: 1.0079 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 62 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 63 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 64 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 65 | Train Loss: 1.0080 | Train Acc: 0.4293 | Val Loss: 1.0052 | Val Acc: 0.4370
Epoch 66 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 67 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 68 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 69 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 70 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 71 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 72 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 73 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 74 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 75 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 76 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 77 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 78 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 79 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 80 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 81 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 82 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 83 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 84 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 85 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 86 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 87 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 88 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 89 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 90 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 91 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 92 | Train Loss: 1.0078 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 93 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 94 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 95 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 96 | Train Loss: 1.0077 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 97 | Train Loss: 1.0075 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 98 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Epoch 99 | Train Loss: 1.0076 | Train Acc: 0.4293 | Val Loss: 1.0053 | Val Acc: 0.4370
Training took 51715.60 seconds
